FILE	NAME	HAS_UPDATE_INFO	UPDATE_KIND	NOTE
appimaged-904-x86_64.AppImage	appimaged-904-x86_64	yes	ZSync via GitHub Releases	ok
appimagepool-5.1.0-x86_64.AppImage	appimagepool-5.1.0-x86_64	no		tool-error
appimagetool-904-x86_64.AppImage	appimagetool-904-x86_64	yes	ZSync via GitHub Releases	ok
appimageupdatetool-x86_64.AppImage	appimageupdatetool-x86_64	yes	ZSync via GitHub Releases	ok
AppImageUpdate-x86_64.AppImage	AppImageUpdate-x86_64	yes	ZSync via GitHub Releases	ok
balenaEtcher-2.1.3-x64.AppImage	balenaEtcher-2.1.3-x64	no		tool-error
citra.AppImage	citra	no		tool-error
citra-qt.AppImage	citra-qt	no		tool-error
citra-room.AppImage	citra-room	no		tool-error
Cool-Retro-Term-1.1.1-x86_64.AppImage	Cool-Retro-Term-1.1.1-x86_64	no	ZSync via GitHub Releases	invalid-pattern
eDEX-UI-Linux-x86_64.AppImage	eDEX-UI-Linux-x86_64	no		tool-error
goxel-0.15.1.AppImage	goxel-0.15.1	no		tool-error
Linux-Yuzu-EA-4176.AppImage	Linux-Yuzu-EA-4176	no		tool-error
mkappimage-904-x86_64.AppImage	mkappimage-904-x86_64	yes	ZSync via GitHub Releases	ok
TOTK Optimizer.AppImage	TOTK Optimizer	no		tool-error
validate-x86_64.AppImage	validate-x86_64	yes	ZSync via GitHub Releases	ok
WiiUDownloader-Linux-x86_64.AppImage	WiiUDownloader-Linux-x86_64	no	ZSync via GitHub Releases	invalid-pattern
yuzu-mainline-20240301-6879db182.AppImage	yuzu-mainline-20240301-6879db182	no	ZSync via GitHub Releases	broken-update-info-134
